E_A#27 / keV,N_A#27,E_A#36 / keV,N_A#36,E_A#37 / keV,N_A#37,E_A#38 / keV,N_A#38,E_A#39 / keV,N_A#39,E_A#40 / keV,N_A#40,E_A#41 / keV,N_A#41,E_A#43 / keV,N_A#43
655.7,135,655.7,148,655.7,131,655.7,141,655.7,136,655.7,149,655.7,172,655.7,134
658.5,156,658.5,159,658.5,159,658.5,144,658.5,144,658.5,150,658.5,165,658.5,155
661.3,161,661.3,186,661.3,155,661.3,155,661.3,146,661.3,167,661.3,168,661.3,160
664.2,166,664.2,154,664.2,154,664.2,172,664.2,149,664.2,175,664.2,154,664.2,167
667,156,667,167,667,162,667,170,667,166,667,163,667,206,667,186
669.8,161,669.8,155,669.8,151,669.8,161,669.8,190,669.8,162,669.8,162,669.8,180
672.7,171,672.7,174,672.7,190,672.7,153,672.7,146,672.7,182,672.7,167,672.7,163
675.5,143,675.5,145,675.5,169,675.5,180,675.5,170,675.5,166,675.5,158,675.5,155
678.3,175,678.3,140,678.3,170,678.3,165,678.3,145,678.3,160,678.3,161,678.3,164
681.2,162,681.2,159,681.2,146,681.2,149,681.2,158,681.2,172,681.2,149,681.2,168
684,152,684,141,684,130,684,159,684,152,684,107,684,160,684,148
686.9,139,686.9,122,686.9,136,686.9,154,686.9,146,686.9,130,686.9,155,686.9,123
689.7,131,689.7,118,689.7,132,689.7,104,689.7,128,689.7,131,689.7,109,689.7,134
692.5,95,692.5,104,692.5,100,692.5,118,692.5,132,692.5,107,692.5,121,692.5,102
695.4,96,695.4,92,695.4,111,695.4,108,695.4,122,695.4,104,695.4,100,695.4,102
698.2,74,698.2,54,698.2,79,698.2,87,698.2,87,698.2,75,698.2,88,698.2,84
701,81,701,58,701,75,701,75,701,81,701,70,701,92,701,64
703.9,61,703.9,51,703.9,68,703.9,76,703.9,70,703.9,66,703.9,80,703.9,77
706.7,66,706.7,47,706.7,63,706.7,57,706.7,54,706.7,64,706.7,55,706.7,61
709.6,54,709.6,41,709.6,36,709.6,49,709.6,52,709.6,41,709.6,58,709.6,63
712.4,42,712.4,31,712.4,39,712.4,45,712.4,35,712.4,44,712.4,49,712.4,63
715.2,29,715.2,33,715.2,45,715.2,39,715.2,42,715.2,48,715.2,35,715.2,40
718.1,38,718.1,30,718.1,25,718.1,28,718.1,44,718.1,32,718.1,60,718.1,49
720.9,41,720.9,32,720.9,32,720.9,39,720.9,38,720.9,27,720.9,30,720.9,34
723.7,39,723.7,36,723.7,37,723.7,24,723.7,38,723.7,36,723.7,29,723.7,30
726.6,48,726.6,23,726.6,21,726.6,39,726.6,34,726.6,31,726.6,27,726.6,28
729.4,38,729.4,19,729.4,23,729.4,17,729.4,28,729.4,29,729.4,44,729.4,26
732.2,24,732.2,21,732.2,30,732.2,29,732.2,27,732.2,28,732.2,20,732.2,21
735.1,32,735.1,22,735.1,16,735.1,27,735.1,31,735.1,28,735.1,27,735.1,39
737.9,30,737.9,16,737.9,20,737.9,28,737.9,26,737.9,29,737.9,20,737.9,27
